backend,benchmark,qubits,layers,warmups,repeats,mean_ms,stdev_ms,stderr_ms,ci95_ms,min_ms,max_ms
lightning.gpu,qft,15,,1,3,12.949964666707578,0.5189957287973836,0.2996423237294355,0.5872989545096936,12.628839000171865,13.54872299998533
lightning.gpu,qft,20,,1,3,33.83589333316195,1.1683971931120827,0.6745744339636641,1.3221658905687816,32.59400399929291,34.9133849995269
lightning.gpu,qft,24,,1,3,316.4039566669696,4.713865624036307,2.7215515869610853,5.3342411104437275,312.8852480003843,321.7597740003839
lightning.gpu,qft,26,,1,3,1446.3021093330706,109.26794635923694,63.08587824430304,123.64832135883395,1322.6892160000716,1530.0031569995554
lightning.gpu,qft,28,,1,3,6184.397848333599,150.5660298227416,86.92933784897309,170.38150218398727,6092.401255999903,6358.156074000362
lightning.gpu,qaoa_ring,15,6,1,3,13.573125000220898,1.563018313059598,0.9024090437932737,1.7687217258348165,11.97867600058089,15.102692000255047
lightning.gpu,qaoa_ring,20,6,1,3,34.84708733321895,0.4700917280555877,0.2714075857367099,0.5319588680439514,34.48219599977165,35.377565999624494
lightning.gpu,qaoa_ring,24,6,1,3,374.3494510002468,1.2520457926705806,0.7228689754360981,1.4168231918547523,373.31930800064583,375.74299999960203
lightning.gpu,qaoa_ring,26,6,1,3,1551.7686256665304,22.35191831994645,12.90488605892561,25.293576675494197,1526.2671729997237,1567.9639400004817
lightning.gpu,qaoa_ring,28,6,1,3,7170.031194333508,455.12609813348524,262.76717527259177,515.0236635342799,6660.242791999735,7535.499370000252
lightning.gpu,ghz,15,,1,3,6.070723333626423,0.21660749391727496,0.12505839492162893,0.2451144540463927,5.821041000672267,6.208325999978115
lightning.gpu,ghz,20,,1,3,10.594151999915388,0.9820056704990511,0.5669612382083661,1.1112440268883974,9.593535000021802,11.556423000001814
lightning.gpu,ghz,24,,1,3,92.12844133314017,11.966745036992295,6.90900346843112,13.541646798124995,85.01512299972092,105.94441400007781
lightning.gpu,ghz,26,,1,3,305.39731633325573,30.93584736333968,17.86081980283334,35.007206813553346,278.97658399979264,339.4279929998447
lightning.gpu,ghz,28,,1,3,1357.4194709999574,254.03231566269955,146.66562583072357,287.4646266282182,1114.3143639992559,1621.1245750000671
lightning.gpu,grover_proxy,15,,1,3,8.468067666702458,0.7838013738841371,0.4525279342032051,0.8869547510382819,7.990267999957723,9.37264399999549
lightning.gpu,grover_proxy,20,,1,3,22.277566333589977,1.0848426217717986,0.6263341797083273,1.2276149922283215,21.488680000402383,23.51470000030531
lightning.gpu,grover_proxy,24,,1,3,285.53767233339994,56.30142343262966,32.50564197458784,63.71105827019216,252.8668459999608,350.54867600047146
lightning.gpu,grover_proxy,26,,1,3,1022.8857246668971,19.21136954981851,11.091689381089097,21.73971118693463,1000.7143880002332,1034.6043170002304
lightning.gpu,grover_proxy,28,,1,3,4541.362557666919,146.04942529148738,84.32167500703038,165.27048301377954,4375.518812000337,4650.785820000237
lightning.gpu,phase_estimation,15,,1,3,10.353528999985429,0.518067852333287,0.29910661400311456,0.5862489634461046,9.87053599965293,10.900693000621686
lightning.gpu,phase_estimation,20,,1,3,31.35874866651041,0.3652313558589783,0.21086642162167316,0.41329818637847937,30.945316999350325,31.63757299989811
lightning.gpu,phase_estimation,24,,1,3,361.6269173329177,41.899608149071696,24.190750043806382,47.41387008586051,334.68222200008313,409.8996199991234
lightning.gpu,phase_estimation,26,,1,3,1436.7753026666226,16.864254633077415,9.73658195208964,19.083700626095695,1422.4105729999792,1455.3437989998201
lightning.gpu,phase_estimation,28,,1,3,7686.5790463331605,658.8270135700554,380.37395363406876,745.5329491227748,6935.4189830000905,8166.427737000049
lightning.gpu,tfim_trotter,15,,1,3,33.11653599970062,0.44154869849573314,0.25492825993684043,0.49965938947620725,32.643210999594885,33.51732600003743
lightning.gpu,tfim_trotter,20,,1,3,125.55982799979877,19.267018470760718,11.123818300575193,21.802683869127378,112.89030199986883,147.73221499945066
lightning.gpu,tfim_trotter,24,,1,3,1487.1096793334193,23.150203698231735,13.365776336968763,26.196921620458774,1460.57238100002,1503.1641460000174
lightning.gpu,tfim_trotter,26,,1,3,6277.5656369998005,33.354432788367575,19.2571907490313,37.744093868101345,6240.239235999979,6304.4491189994005
lightning.gpu,tfim_trotter,28,,1,3,26345.562917666335,313.3533161242373,180.91462141579032,354.592657974949,26106.79117499967,26700.387404999674
