backend,benchmark,qubits,layers,run_index,warmup,wall_ms,cpu_s,state_size
lightning.qubit,qft,15,,0,True,10.149457000352413,0.007147794999999846,32768
lightning.qubit,qft,15,,1,False,8.96066899986181,0.00539186299999983,32768
lightning.qubit,qft,15,,2,False,6.9056170000294514,0.005722919000000104,32768
lightning.qubit,qft,15,,3,False,6.794043999889254,0.005556816000000353,32768
lightning.qubit,qft,20,,0,True,97.99427899997681,0.09675484799999978,1048576
lightning.qubit,qft,20,,1,False,87.94518399963636,0.08577577199999986,1048576
lightning.qubit,qft,20,,2,False,89.20331700028328,0.0862077870000002,1048576
lightning.qubit,qft,20,,3,False,89.63252800003829,0.08696439499999986,1048576
lightning.qubit,qft,24,,0,True,3124.4834929998433,3.1090652309999998,16777216
lightning.qubit,qft,24,,1,False,3014.7593009996854,2.9977672480000006,16777216
lightning.qubit,qft,24,,2,False,3044.688284000131,3.029128654000001,16777216
lightning.qubit,qft,24,,3,False,3105.091307999828,3.0941717099999977,16777216
lightning.qubit,qft,26,,0,True,14132.645537999906,14.127979621999998,67108864
lightning.qubit,qft,26,,1,False,13715.466127000127,13.710702376,67108864
lightning.qubit,qft,26,,2,False,13539.068780999969,13.539670447999995,67108864
lightning.qubit,qft,26,,3,False,13704.122562000066,13.67660669,67108864
lightning.qubit,qft,28,,0,True,62540.10808599969,62.535872776000005,268435456
lightning.qubit,qft,28,,1,False,62177.909349999936,62.076658554999995,268435456
lightning.qubit,qft,28,,2,False,62674.6499689998,62.580590184000016,268435456
lightning.qubit,qft,28,,3,False,61946.39122799981,61.89051401699999,268435456
lightning.qubit,qaoa_ring,15,6,0,True,11.27352499997869,0.009099982999998701,32768
lightning.qubit,qaoa_ring,15,6,1,False,9.322841000084736,0.007926226999984465,32768
lightning.qubit,qaoa_ring,15,6,2,False,9.528315999887127,0.00791665099995953,32768
lightning.qubit,qaoa_ring,15,6,3,False,9.073688000171387,0.007719791999988956,32768
lightning.qubit,qaoa_ring,20,6,0,True,130.65502200015544,0.12902767799999992,1048576
lightning.qubit,qaoa_ring,20,6,1,False,133.2194410001648,0.1311484059999657,1048576
lightning.qubit,qaoa_ring,20,6,2,False,134.3751239996891,0.13273267499999974,1048576
lightning.qubit,qaoa_ring,20,6,3,False,146.33647399978145,0.14434462200000553,1048576
lightning.qubit,qaoa_ring,24,6,0,True,4008.7475500004075,3.9926704530000166,16777216
lightning.qubit,qaoa_ring,24,6,1,False,3831.409390999852,3.8111131819999855,16777216
lightning.qubit,qaoa_ring,24,6,2,False,3802.14677999993,3.7901066690000107,16777216
lightning.qubit,qaoa_ring,24,6,3,False,3926.4962709999054,3.9068015219999666,16777216
lightning.qubit,qaoa_ring,26,6,0,True,16226.423798999804,16.21269739099995,67108864
lightning.qubit,qaoa_ring,26,6,1,False,16211.41174000013,16.205110161999983,67108864
lightning.qubit,qaoa_ring,26,6,2,False,16121.157288000177,16.109617500000013,67108864
lightning.qubit,qaoa_ring,26,6,3,False,16069.914187999984,16.03223002499999,67108864
lightning.qubit,qaoa_ring,28,6,0,True,69248.55519300036,69.23771872799995,268435456
lightning.qubit,qaoa_ring,28,6,1,False,69025.30842800025,68.94387892699996,268435456
lightning.qubit,qaoa_ring,28,6,2,False,68900.98482900021,68.79558003,268435456
lightning.qubit,qaoa_ring,28,6,3,False,70159.044171,70.09633397700009,268435456
lightning.qubit,ghz,15,,0,True,15.942885000185925,0.003921619000038845,32768
lightning.qubit,ghz,15,,1,False,3.4044750000248314,0.0017303500000025451,32768
lightning.qubit,ghz,15,,2,False,2.7910080002584436,0.0017398960000036823,32768
lightning.qubit,ghz,15,,3,False,2.43841000019529,0.0013982059999761987,32768
lightning.qubit,ghz,20,,0,True,21.182569999837142,0.020031745999972372,1048576
lightning.qubit,ghz,20,,1,False,16.177387999960047,0.013700636999942617,1048576
lightning.qubit,ghz,20,,2,False,15.237784999953874,0.01346490299999914,1048576
lightning.qubit,ghz,20,,3,False,15.379756000129419,0.013410982999971566,1048576
lightning.qubit,ghz,24,,0,True,400.10398699996585,0.3986273360000041,16777216
lightning.qubit,ghz,24,,1,False,333.9435279999634,0.3324299359999259,16777216
lightning.qubit,ghz,24,,2,False,335.0543960000323,0.3334574269999848,16777216
lightning.qubit,ghz,24,,3,False,315.5296790000648,0.3132195399999773,16777216
lightning.qubit,ghz,26,,0,True,1543.187585999931,1.5275606489999518,67108864
lightning.qubit,ghz,26,,1,False,1312.6938469999914,1.2946262980000256,67108864
