workload,qubits,backend,mean_ms,ci95_ms,backend_over_mettleq,result_contract
qft,15,MettleQ Metal,2.5564856769051403,2.4825920809706354,1.0,synchronized full state
qft,15,CUDA-Q NVIDIA GPU,53.68671266660385,6.109749750138206,21.000200842743045,synchronized full state
qft,15,PennyLane Lightning GPU,12.949964666707578,0.5872989545096936,5.0655338239112275,synchronized full state
qft,15,Qiskit Aer statevector CPU,7.669059666644292,2.3931486062012373,2.999844566283035,synchronized full state
qft,15,PennyLane Lightning CPU,7.553443333260172,1.380525268911546,2.9546198523608806,synchronized full state
qft,20,MettleQ Metal,6.889013680241381,1.1135219443012314,1.0,synchronized full state
qft,20,CUDA-Q NVIDIA GPU,63.64929133330103,4.177198201985404,9.23924589028699,synchronized full state
qft,20,PennyLane Lightning GPU,33.83589333316195,1.3221658905687816,4.91157296293486,synchronized full state
qft,20,Qiskit Aer statevector CPU,40.213461333337364,1.3580335722138295,5.837332192948751,synchronized full state
qft,20,PennyLane Lightning CPU,88.92700966665264,0.9923626336855859,12.908525631427802,synchronized full state
qft,24,MettleQ Metal,51.4011946603811,0.6624757217752484,1.0,synchronized full state
qft,24,CUDA-Q NVIDIA GPU,86.76704833427114,4.259462987652284,1.6880356362835522,synchronized full state
qft,24,PennyLane Lightning GPU,316.4039566669696,5.3342411104437275,6.15557593082261,synchronized full state
qft,24,Qiskit Aer statevector CPU,805.1273906666362,13.779355812865738,15.663592957056512,synchronized full state
qft,24,PennyLane Lightning CPU,3054.8462976665483,52.070586373870235,59.431426017441495,synchronized full state
qft,26,MettleQ Metal,206.58476365497336,2.0188288582081535,1.0,synchronized full state
qft,26,CUDA-Q NVIDIA GPU,144.68199366698778,15.090324545710004,0.7003517157181436,synchronized full state
qft,26,PennyLane Lightning GPU,1446.3021093330706,123.64832135883395,7.001010547653968,synchronized full state
qft,26,Qiskit Aer statevector CPU,3183.7072576666965,263.3531133305988,15.411142629007971,synchronized full state
qft,26,PennyLane Lightning CPU,13652.885823333389,111.72520626264206,66.0885419707704,synchronized full state
qft,28,MettleQ Metal,877.8958750093201,11.499350605592296,1.0,synchronized full state
qft,28,CUDA-Q NVIDIA GPU,341.4467600002051,36.851955386275634,0.3889376516281958,synchronized full state
qft,28,PennyLane Lightning GPU,6184.397848333599,170.38150218398727,7.044568751696143,synchronized full state
qft,28,Qiskit Aer statevector CPU,13268.292556666629,639.1106646236764,15.113742910029925,synchronized full state
qft,28,PennyLane Lightning CPU,62266.31684899985,421.0612136030013,70.92676776541273,synchronized full state
qaoa_ring,15,MettleQ Metal,3.7037363314690688,2.0181928936318876,1.0,synchronized full state
qaoa_ring,15,CUDA-Q NVIDIA GPU,59.13453400050154,8.61577176468174,15.966183526095152,synchronized full state
qaoa_ring,15,PennyLane Lightning GPU,13.573125000220898,1.7687217258348165,3.6647114657962665,synchronized full state
qaoa_ring,15,Qiskit Aer statevector CPU,8.529422666659533,1.6343883723258559,2.3029238323982906,synchronized full state
qaoa_ring,15,PennyLane Lightning CPU,9.308281666714416,0.25762541805159106,2.513213909863376,synchronized full state
qaoa_ring,20,MettleQ Metal,10.321306006517261,0.9585606442910957,1.0,synchronized full state
qaoa_ring,20,CUDA-Q NVIDIA GPU,63.51683966689355,3.379230570503192,6.1539537367448105,synchronized full state
qaoa_ring,20,PennyLane Lightning GPU,34.84708733321895,0.5319588680439514,3.3762284841874846,synchronized full state
qaoa_ring,20,Qiskit Aer statevector CPU,56.87786666669581,2.1465578566211465,5.51072380092025,synchronized full state
qaoa_ring,20,PennyLane Lightning CPU,137.97701299987844,8.218326351440268,13.368173844739664,synchronized full state
qaoa_ring,24,MettleQ Metal,161.5059166700424,4.240855471019826,1.0,synchronized full state
qaoa_ring,24,CUDA-Q NVIDIA GPU,84.92278400080977,3.0008679837014136,0.5258184080915596,synchronized full state
qaoa_ring,24,PennyLane Lightning GPU,374.3494510002468,1.4168231918547523,2.3178683401738467,synchronized full state
