backend,benchmark,qubits,layers,run_index,warmup,wall_ms,cpu_s,state_size
lightning.gpu,qft,15,,0,True,425.9767500007001,0.2294778700000002,32768
lightning.gpu,qft,15,,1,False,12.672331999965536,0.01104061999999928,32768
lightning.gpu,qft,15,,2,False,12.628839000171865,0.011584541000000392,32768
lightning.gpu,qft,15,,3,False,13.54872299998533,0.012278595999999808,32768
lightning.gpu,qft,20,,0,True,40.70868100006919,0.037863233000000385,1048576
lightning.gpu,qft,20,,1,False,32.59400399929291,0.030704214999999202,1048576
lightning.gpu,qft,20,,2,False,34.9133849995269,0.033011456999999744,1048576
lightning.gpu,qft,20,,3,False,34.00029100066604,0.03242457799999965,1048576
lightning.gpu,qft,24,,0,True,377.60028499997134,0.37500236699999956,16777216
lightning.gpu,qft,24,,1,False,321.7597740003839,0.3204921890000003,16777216
lightning.gpu,qft,24,,2,False,312.8852480003843,0.3116851109999992,16777216
lightning.gpu,qft,24,,3,False,314.56684800014045,0.31318880400000104,16777216
lightning.gpu,qft,26,,0,True,1576.625968999906,1.5656181149999995,67108864
lightning.gpu,qft,26,,1,False,1530.0031569995554,1.5222821530000008,67108864
lightning.gpu,qft,26,,2,False,1322.6892160000716,1.3208425510000001,67108864
lightning.gpu,qft,26,,3,False,1486.2139549995845,1.4790507339999994,67108864
lightning.gpu,qft,28,,0,True,6730.80739299985,6.710159408999999,268435456
lightning.gpu,qft,28,,1,False,6102.63621500053,6.087090936999999,268435456
lightning.gpu,qft,28,,2,False,6358.156074000362,6.344961923,268435456
lightning.gpu,qft,28,,3,False,6092.401255999903,6.075514587999997,268435456
lightning.gpu,qaoa_ring,15,6,0,True,32.52406399951724,0.015059902999993824,32768
lightning.gpu,qaoa_ring,15,6,1,False,15.102692000255047,0.014052159000002007,32768
lightning.gpu,qaoa_ring,15,6,2,False,13.638006999826757,0.012446101000001875,32768
lightning.gpu,qaoa_ring,15,6,3,False,11.97867600058089,0.01071265599999549,32768
lightning.gpu,qaoa_ring,20,6,0,True,41.343943000356376,0.03843297399999557,1048576
lightning.gpu,qaoa_ring,20,6,1,False,35.377565999624494,0.03420090299999856,1048576
