backend,benchmark,qubits,layers,warmups,repeats,mean_ms,stdev_ms,stderr_ms,ci95_ms,min_ms,max_ms
cudaq_nvidia,qft,15,,1,3,61.518926988355815,5.673843606394779,3.2757951334918625,6.420558461644051,56.908823986304924,67.85544398007914
cudaq_nvidia,qft,20,,1,3,63.01978633079367,9.728100892206832,5.616521668819454,11.00838247088613,51.82139898533933,69.38254900160246
cudaq_nvidia,qft,24,,1,3,82.93042700582494,3.419574939212635,1.974292511668513,3.8696133228702854,79.04867301112972,85.49778800806962
cudaq_nvidia,qft,26,,1,3,150.63998499924006,16.898640432942464,9.756434602898027,19.12261182168013,132.1029439859558,165.18559100222774
cudaq_nvidia,qft,28,,1,3,340.3785153350327,41.94248582465812,24.21550548134843,47.462390743442924,314.82580601004884,388.78444200963713
cudaq_nvidia,qaoa_ring,15,6,1,3,58.05604233561704,7.464850625639286,4.309833518173188,8.44727369561945,49.48626601253636,63.14292500610463
cudaq_nvidia,qaoa_ring,20,6,1,3,70.46663066527496,5.6607036492667335,3.268208775706846,6.405689200385418,64.01845399523154,74.61771901580505
cudaq_nvidia,qaoa_ring,24,6,1,3,85.67640433708827,9.121530349962226,5.266318002972033,10.321983285825185,75.73240200872533,93.65505300229415
cudaq_nvidia,qaoa_ring,26,6,1,3,155.19405333907343,3.118673460454926,1.8005669619081934,3.5291112453400593,152.40180000546388,158.5596000077203
cudaq_nvidia,qaoa_ring,28,6,1,3,463.79505334577215,4.605414771637527,2.658937458134805,5.211517417944218,460.9614709916059,469.1090170235839
cudaq_nvidia,ghz,15,,1,3,64.79973766060236,2.814532780065171,1.6249712582136524,3.1849436660987585,61.722518992610276,67.24368600407615
cudaq_nvidia,ghz,20,,1,3,68.81096200474228,10.226514994321802,5.904281184843437,11.572391122293135,61.7120859969873,80.53267499781214
cudaq_nvidia,ghz,24,,1,3,70.08001366436172,12.51176843477082,7.223672873853196,14.158398832752264,58.4483020065818,83.31690798513591
cudaq_nvidia,ghz,26,,1,3,91.78402167162858,9.655784074171086,5.574769534459578,10.926548287540772,80.64190699951723,97.7073950052727
cudaq_nvidia,ghz,28,,1,3,173.24052000185475,9.534488887975476,5.504739726058137,10.789289863073948,166.76579299382865,184.18923299759626
cudaq_nvidia,grover_proxy,15,,1,3,55.78263333882205,8.901084105459189,5.139043304366362,10.07252487655807,46.548696991521865,64.30858001112938
cudaq_nvidia,grover_proxy,20,,1,3,58.12052132872244,2.2743275367014584,1.3130836155399654,2.573643886458332,55.946664011571556,60.483507986646146
cudaq_nvidia,grover_proxy,24,,1,3,63.16629499391032,8.889490446028487,5.132349701973154,10.059405415867381,53.782205999596044,71.46072699106298
cudaq_nvidia,grover_proxy,26,,1,3,83.30687234411016,6.052951941951765,3.4946734330777196,6.84955992883233,78.60482501564547,90.13632099959068
cudaq_nvidia,grover_proxy,28,,1,3,165.93639999822094,6.143171086978433,3.5467614807449244,6.9516525022600515,158.94064999883994,170.4507209942676
cudaq_nvidia,phase_estimation,15,,1,3,52.56107833702117,5.4838333171303395,3.16609264183624,6.20554157799903,46.28386901458725,56.42073097988032
cudaq_nvidia,phase_estimation,20,,1,3,60.234938660869375,5.5120886292623945,3.182405853901719,6.237515473647369,53.91910398611799,64.07534799654968
cudaq_nvidia,phase_estimation,24,,1,3,84.99033000164975,2.5263686743503198,1.4585996342083951,2.858855283048454,83.38693200494163,87.90256798965856
cudaq_nvidia,phase_estimation,26,,1,3,140.9612336816887,1.8333672752961951,1.058495089915709,2.0746503762347897,139.25468901288696,142.89940902381204
cudaq_nvidia,phase_estimation,28,,1,3,363.80000766560744,8.307796081571622,4.796508304067895,9.401156275973074,356.65023399633355,372.9138500057161
cudaq_nvidia,tfim_trotter,15,,1,3,95.48624134428489,16.470189251421793,9.509068197912454,18.63777366790841,85.38460201816633,114.491801999975
cudaq_nvidia,tfim_trotter,20,,1,3,118.2430973276496,11.238547822851205,6.488578610823626,12.717614077214307,108.23029300081544,130.39881899021566
cudaq_nvidia,tfim_trotter,24,,1,3,204.35114732633033,9.082275683633776,5.243654310800354,10.277562449168693,197.12210897705518,214.54544499283656
cudaq_nvidia,tfim_trotter,26,,1,3,463.70249867322855,3.1511377587689497,1.8193102332788473,3.5658480572265407,460.6355559953954,466.93157200934365
cudaq_nvidia,tfim_trotter,28,,1,3,1565.921237342991,10.051964206270478,5.803504240374743,11.374868311134497,1554.3749960197601,1572.7215959923342
