backend,benchmark,qubits,layers,warmups,repeats,mean_ms,stdev_ms,stderr_ms,ci95_ms,min_ms,max_ms
qiskit_aer_matrix_product_state_gpu,qft,15,,1,3,15.317550999877009,0.5198136219199688,0.3001145345439284,0.5882244877060996,14.78471699988404,15.82328399990729
qiskit_aer_matrix_product_state_gpu,qft,20,,1,3,343.8698079999843,19.337662358196834,11.164604568003035,21.882624953285948,322.26513000000523,359.5582089999425
qiskit_aer_matrix_product_state_gpu,qft,24,,1,3,6401.943660333396,90.65390206719816,52.33905476158683,102.58454733271019,6336.54076300013,6505.426291000049
qiskit_aer_matrix_product_state_gpu,qft,26,,1,3,18.421403666707192,0.8387118814685344,0.4842305305383958,0.9490918398552558,17.48784500000511,19.111317000124473
qiskit_aer_matrix_product_state_gpu,qft,28,,1,3,22.087812333287122,0.6963038559318215,0.4020112186600116,0.7879419885736227,21.29688500008342,22.60843399994883
qiskit_aer_matrix_product_state_gpu,qft,30,,1,3,27.33191000000564,1.0265157631987445,0.5926591522101893,1.161611938331971,26.41145900020092,28.438906000019415
qiskit_aer_matrix_product_state_gpu,qft,40,,1,3,54.83235200002431,3.932569534887364,2.270470079574141,4.450121355965316,51.94924600004924,59.31214099996396
qiskit_aer_matrix_product_state_gpu,qaoa_ring,15,6,1,3,210.69499366664482,1.2036717503073784,0.6949402090559129,1.3620828097495894,209.51949799996328,211.92498999994314
qiskit_aer_matrix_product_state_gpu,qaoa_ring,20,6,1,3,1520.2067510000081,18.39056320546884,10.617796617226263,20.810881369763475,1503.1902409998565,1539.716897000062
qiskit_aer_matrix_product_state_gpu,qaoa_ring,24,6,1,3,14013.611416333259,115.85329371617738,66.8879303135398,131.100343414538,13883.116083000004,14104.358330999958
qiskit_aer_matrix_product_state_gpu,qaoa_ring,26,6,1,3,1683.3355199999762,19.863676967635268,11.468299244359992,22.477866518945582,1661.2939040001038,1699.8509649997686
qiskit_aer_matrix_product_state_gpu,qaoa_ring,28,6,1,3,1960.229079666533,17.01355820381655,9.822782408846852,19.25265352133983,1943.7051439999777,1977.6932659997328
qiskit_aer_matrix_product_state_gpu,qaoa_ring,30,6,1,3,2223.743594999936,9.635079021484927,5.562815466717639,10.903118314766573,2217.0483759996387,2234.7863509999115
qiskit_aer_matrix_product_state_gpu,qaoa_ring,40,6,1,3,3700.306793999971,4.240331232344704,2.4481563784473925,4.798386501756889,3696.9180679998317,3705.0618449998183
qiskit_aer_matrix_product_state_gpu,ghz,15,,1,3,8.71507500005464,0.1254449723801521,0.07242568857216598,0.14195434960144532,8.574024000154168,8.814147000066441
qiskit_aer_matrix_product_state_gpu,ghz,20,,1,3,285.56137266665854,1.7473583477529622,1.0088378124459125,1.9773221123939886,283.5475609999776,286.67636699992727
qiskit_aer_matrix_product_state_gpu,ghz,24,,1,3,6148.069200000161,175.49102077489079,101.31978808474541,198.586784646101,5955.529440000191,6299.051318000238
qiskit_aer_matrix_product_state_gpu,ghz,26,,1,3,2.3177066665690895,2.1768384366749847,1.2567982573966265,2.463324584497388,0.9558080000715563,4.828286999781994
qiskit_aer_matrix_product_state_gpu,ghz,28,,1,3,1.1834100000669423,0.08785670653984919,0.050724093170895886,0.09941922261495593,1.1193200002708181,1.2835590000577213
qiskit_aer_matrix_product_state_gpu,ghz,30,,1,3,1.4138030002565454,0.43532509806216607,0.2513350625511918,0.49261672260033595,1.1345870002514857,1.915401000132988
qiskit_aer_matrix_product_state_gpu,ghz,40,,1,3,1.8846213333745254,0.5391585641062954,0.31128334212266173,0.610115350560417,1.3211909999881755,2.395686999989266
qiskit_aer_matrix_product_state_gpu,grover_proxy,15,,1,3,9.103552000093865,0.10593330685477974,0.06116062322875431,0.11987482152835845,8.98724700027742,9.194517999731033
qiskit_aer_matrix_product_state_gpu,grover_proxy,20,,1,3,273.21372799997334,1.2629014500682452,0.7291364921568702,1.4291075246274654,272.34779999980674,274.66283500007194
qiskit_aer_matrix_product_state_gpu,grover_proxy,24,,1,3,6028.304531333409,74.7230482941631,43.14137204730448,84.55708921271678,5948.356472999876,6096.381317000123
qiskit_aer_matrix_product_state_gpu,grover_proxy,26,,1,3,5.868888333376769,2.045177235902227,1.1807836276886454,2.314335910269745,4.131956000037462,8.123012999931234
qiskit_aer_matrix_product_state_gpu,grover_proxy,28,,1,3,3.208844666611791,0.6788507006569595,0.39193463476386164,0.7681918841371688,2.496297000107006,3.8480409998555842
qiskit_aer_matrix_product_state_gpu,grover_proxy,30,,1,3,2.9947543334856164,0.3765600414685734,0.2174070413079375,0.4261178009635575,2.562391000083153,3.2508600002074672
qiskit_aer_matrix_product_state_gpu,grover_proxy,40,,1,3,6.371227333299127,2.431514274571338,1.4038354209621797,2.751517425085872,4.203632000098878,9.000473000014608
qiskit_aer_matrix_product_state_gpu,phase_estimation,15,,1,3,12.8458980002506,0.1832902849033756,0.1058226953288071,0.20741248284446193,12.64018700021552,12.991853000130504
