family,qubits,depth,implementation,repeat,warmup,order_index,status,execution_ms,expectation_z0,exact_expectation_z0,exact_absolute_error,maximum_bond_dimension_reached,truncation_events,relative_discarded_weight_max,state_norm,svd_calls,svd_total_ms,routing_swaps,routing_naive_restore_swaps,accuracy_classification,error
line_brickwork,100,8,mettleq_cpu_restore,3,False,2,completed,69.624875,-0.5203978987983079,,,8,310,9.04607766183637e-21,1.000000055945622,396,7.367523999999995,0,0,within_configured_local_thresholds,
line_brickwork,100,8,mettleq_gpu_routed,3,False,3,completed,505.1745,-0.5203971398928225,,,8,312,9.808600681991152e-21,1.0000000595072045,396,10.336287,0,0,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_cpu_routed,0,True,0,completed,20.70825,-0.15403436384452024,,,11,45,1.4352417374888852e-20,1.000000005740071,147,2.7413710000000013,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_cpu_restore,0,True,1,completed,37.554583,-0.1540342878808958,,,36,67,1.7145663077538776e-20,0.9999999999061457,243,11.239703000000008,192,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_gpu_routed,0,True,2,completed,110.673875,-0.1540348226131021,,,11,45,1.1109549320269088e-20,0.999999921407883,147,3.377421,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,qiskit_aer_cpu_mps,0,True,3,completed,6.575458,-0.15403429413193478,,,,,,,,,,,,
ring_brickwork,50,2,mettleq_cpu_restore,1,False,0,completed,37.023958,-0.1540342878808958,,,36,67,1.7145663077538776e-20,0.9999999999061457,243,10.862709,192,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_gpu_routed,1,False,1,completed,116.926,-0.1540348226131021,,,11,45,1.1109549320269088e-20,0.999999921407883,147,3.640369,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,qiskit_aer_cpu_mps,1,False,2,completed,6.014375,-0.15403429413193478,,,,,,,,,,,,
ring_brickwork,50,2,mettleq_cpu_routed,1,False,3,completed,18.669875,-0.15403436384452024,,,11,45,1.4352417374888852e-20,1.000000005740071,147,2.5062889999999998,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_gpu_routed,2,False,0,completed,131.475792,-0.1540348226131021,,,11,45,1.1109549320269088e-20,0.999999921407883,147,3.553244999999999,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,qiskit_aer_cpu_mps,2,False,1,completed,6.235541,-0.15403429413193478,,,,,,,,,,,,
ring_brickwork,50,2,mettleq_cpu_routed,2,False,2,completed,20.095167,-0.15403436384452024,,,11,45,1.4352417374888852e-20,1.000000005740071,147,2.7463709999999995,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_cpu_restore,2,False,3,completed,37.345291,-0.1540342878808958,,,36,67,1.7145663077538776e-20,0.9999999999061457,243,10.918830000000003,192,192,within_configured_local_thresholds,
ring_brickwork,50,2,qiskit_aer_cpu_mps,3,False,0,completed,6.323167,-0.15403429413193478,,,,,,,,,,,,
ring_brickwork,50,2,mettleq_cpu_routed,3,False,1,completed,19.05075,-0.15403436384452024,,,11,45,1.4352417374888852e-20,1.000000005740071,147,2.673948999999998,96,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_cpu_restore,3,False,2,completed,37.488666,-0.1540342878808958,,,36,67,1.7145663077538776e-20,0.9999999999061457,243,11.009658,192,192,within_configured_local_thresholds,
ring_brickwork,50,2,mettleq_gpu_routed,3,False,3,completed,120.754084,-0.1540348226131021,,,11,45,1.1109549320269088e-20,0.999999921407883,147,3.682326,96,192,within_configured_local_thresholds,
grid_2d,36,2,mettleq_cpu_routed,0,True,0,completed,175.635042,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,99.49599499999998,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_cpu_restore,0,True,1,completed,176.686833,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,100.45321700000002,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_gpu_routed,0,True,2,completed,397.506208,-0.155892302123288,,,64,22,1.669544142050991e-13,0.9999999716218949,360,103.19865800000002,300,300,within_configured_local_thresholds,
grid_2d,36,2,qiskit_aer_cpu_mps,0,True,3,completed,429.669167,-0.15589279649847534,,,,,,,,,,,,
grid_2d,36,2,mettleq_cpu_restore,1,False,0,completed,171.159167,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,98.251024,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_gpu_routed,1,False,1,completed,383.302917,-0.155892302123288,,,64,22,1.669544142050991e-13,0.9999999716218949,360,103.41250499999995,300,300,within_configured_local_thresholds,
grid_2d,36,2,qiskit_aer_cpu_mps,1,False,2,completed,422.491625,-0.15589279649847534,,,,,,,,,,,,
grid_2d,36,2,mettleq_cpu_routed,1,False,3,completed,170.47075,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,97.51482200000002,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_gpu_routed,2,False,0,completed,375.251084,-0.155892302123288,,,64,22,1.669544142050991e-13,0.9999999716218949,360,101.13020799999998,300,300,within_configured_local_thresholds,
grid_2d,36,2,qiskit_aer_cpu_mps,2,False,1,completed,435.387459,-0.15589279649847534,,,,,,,,,,,,
grid_2d,36,2,mettleq_cpu_routed,2,False,2,completed,178.112125,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,100.95317100000005,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_cpu_restore,2,False,3,completed,177.091667,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,100.75441900000001,300,300,within_configured_local_thresholds,
grid_2d,36,2,qiskit_aer_cpu_mps,3,False,0,completed,447.668167,-0.15589279649847534,,,,,,,,,,,,
grid_2d,36,2,mettleq_cpu_routed,3,False,1,completed,171.170208,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,97.93474299999995,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_cpu_restore,3,False,2,completed,171.986916,-0.1558923902325938,,,64,23,1.5708003874520108e-13,1.000000148513443,360,97.94903300000007,300,300,within_configured_local_thresholds,
grid_2d,36,2,mettleq_gpu_routed,3,False,3,completed,378.691625,-0.155892302123288,,,64,22,1.669544142050991e-13,0.9999999716218949,360,102.28983400000001,300,300,within_configured_local_thresholds,
rainbow,32,1,mettleq_cpu_routed,0,True,0,completed,503.903708,-0.08401367448509116,,,64,323,0.000429898076769837,0.999999982776133,496,264.69940600000007,480,480,threshold_exceeded,
rainbow,32,1,mettleq_cpu_restore,0,True,1,completed,698.567084,-0.0840227755173829,,,64,393,0.000806106159190095,0.9999999608365107,496,510.7400009999998,480,480,threshold_exceeded,
rainbow,32,1,mettleq_gpu_routed,0,True,2,completed,845.652583,-0.08400969197272669,,,64,324,0.00042989275517658036,1.0000000064407792,496,266.796131,480,480,threshold_exceeded,
rainbow,32,1,qiskit_aer_cpu_mps,0,True,3,completed,5.378542,-0.0839012508451415,,,,,,,,,,,,
rainbow,32,1,mettleq_cpu_restore,1,False,0,completed,690.555334,-0.0840227755173829,,,64,393,0.000806106159190095,0.9999999608365107,496,505.823689,480,480,threshold_exceeded,
rainbow,32,1,mettleq_gpu_routed,1,False,1,completed,847.58825,-0.08400969197272669,,,64,324,0.00042989275517658036,1.0000000064407792,496,266.00492299999996,480,480,threshold_exceeded,
rainbow,32,1,qiskit_aer_cpu_mps,1,False,2,completed,4.056292,-0.0839012508451415,,,,,,,,,,,,
rainbow,32,1,mettleq_cpu_routed,1,False,3,completed,500.046625,-0.08401367448509116,,,64,323,0.000429898076769837,0.999999982776133,496,262.7521869999999,480,480,threshold_exceeded,
rainbow,32,1,mettleq_gpu_routed,2,False,0,completed,814.442292,-0.08400969197272669,,,64,324,0.00042989275517658036,1.0000000064407792,496,267.28003900000004,480,480,threshold_exceeded,
rainbow,32,1,qiskit_aer_cpu_mps,2,False,1,completed,3.771583,-0.0839012508451415,,,,,,,,,,,,
